Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
50189;71.256;2524.306885;24597.77734;54.35496288;713;100;42;100;0.360097088;-0.297703658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71.256;2524.306885;24597.77734;54.35496288;0;1;0
50194;80.52;1470.124634;23233.62695;54.35496288;541;100;21;93;0.327905361;-0.298012472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80.52;1470.124634;23233.62695;54.35496288;0;1;0
50195;84.624;1458.935791;22761.76367;54.35496288;453;100;31;96;0.361217324;-0.284483101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84.624;1458.935791;22761.76367;54.35496288;0;1;0
50197;127.248;729.3672485;21360.19727;54.35496288;251;99;19;97;0.364087424;-0.299145373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127.248;729.3672485;21360.19727;54.35496288;0;1;0
50199;82.824;1406.69104;22975.22656;54.35496288;494;100;14;100;0.334762185;-0.288627159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.824;1406.69104;22975.22656;54.35496288;0;1;0
50200;116.064;815.0775757;21501.76563;54.35496288;283;100;14;96;0.328942966;-0.285111601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116.064;815.0775757;21501.76563;54.35496288;0;1;0
50203;78.072;2192.158691;23333.74414;54.35496288;496;100;70;96;0.360045746;-0.293036803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.072;2192.158691;23333.74414;54.35496288;0;1;0
50204;62.976;5056.548828;27776.92188;54.35496288;1000;100;100;99;0.22200633;-0.177035106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.976;5056.548828;27776.92188;54.35496288;0;1;0
50205;66.336;3654.209961;26328.73047;54.35496288;931;100;43;99;0.226541424;-0.26123418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.336;3654.209961;26328.73047;54.35496288;0;1;0
50207;138.432;682.1140137;21328.23242;54.35496288;229;96;11;52;0.366217303;-0.299361281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138.432;682.1140137;21328.23242;54.35496288;0;1;0
50209;68.472;3166.97583;25414.14063;54.35496288;838;100;42;99;0.29691943;-0.297703658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.472;3166.97583;25414.14063;54.35496288;0;1;0
50210;133.584;680.1696167;21410.53711;54.35496288;238;100;11;52;0.366217303;-0.279615867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133.584;680.1696167;21410.53711;54.35496288;0;1;0
50211;72.312;2380.674316;24269.52344;54.35496288;665;100;42;98;0.332757598;-0.292139402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.312;2380.674316;24269.52344;54.35496288;0;1;0
50212;108.312;883.7391357;21706.75;54.35496288;314;100;11;98;0.350583251;-0.284706318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108.312;883.7391357;21706.75;54.35496288;0;1;0
50213;75.672;2123.640625;23650.91406;54.35496288;551;100;50;94;0.327369855;-0.279798087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75.672;2123.640625;23650.91406;54.35496288;0;1;0
50214;61.968;5162.557129;29531.20703;54.35496288;1000;100;100;99;0.034634642;-0.177035106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.968;5162.557129;29531.20703;54.35496288;0;1;0
50215;68.376;3121.007568;25476.61719;54.35496288;842;100;42;100;0.2991579;-0.298025833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.376;3121.007568;25476.61719;54.35496288;0;1;0
50216;78.984;1793.809814;23199.46484;54.35496288;494;100;48;100;0.361217324;-0.293336653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.984;1793.809814;23199.46484;54.35496288;0;1;0
50217;72.504;2349.654297;24303.98828;54.35496288;674;100;39;100;0.357632678;-0.289214063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.504;2349.654297;24303.98828;54.35496288;0;1;0
50218;63.6;4813.896484;27299.16797;54.35496288;975;100;99;97;0.233464447;-0.244762971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.6;4813.896484;27299.16797;54.35496288;0;1;0
50219;76.512;1869.708008;23520.41016;54.35496288;549;100;39;100;0.312703799;-0.297988493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76.512;1869.708008;23520.41016;54.35496288;0;1;0
50220;69.72;3178.016113;24891.01563;54.35496288;681;100;99;97;0.258730944;-0.297940759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.72;3178.016113;24891.01563;54.35496288;0;1;0
50221;68.328;3122.703125;25462.44336;54.35496288;842;100;42;100;0.29691943;-0.297703658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.328;3122.703125;25462.44336;54.35496288;0;1;0
50223;76.296;1947.412842;23553.72461;54.35496288;559;100;39;100;0.354103306;-0.293260676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76.296;1947.412842;23553.72461;54.35496288;0;1;0
50224;62.14;4968.867676;29091.88281;54.35496288;1000;100;100;100;0.069052882;-0.177035106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.14;4968.867676;29091.88281;54.35496288;0;1;0
50225;109.368;877.5848389;21644.38477;54.35496288;313;95;17;100;0.33579408;-0.297588201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109.368;877.5848389;21644.38477;54.35496288;0;1;0
50228;65.352;4016.402832;26725.36328;54.35496288;853;100;70;99;0.200947627;-0.188500223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65.352;4016.402832;26725.36328;54.35496288;0;1;0
50231;82.08;1422.680908;23165.42383;54.35496288;518;100;13;96;0.390613718;-0.295265413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.08;1422.680908;23165.42383;54.35496288;0;1;0
50232;148.08;590.9140625;21402.0957;54.35496288;219;99;20;17;0.364087424;-0.299818981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148.08;590.9140625;21402.0957;54.35496288;0;1;0
50233;80.424;1482.223633;23282.30664;54.35496288;554;100;11;95;0.357882956;-0.293888477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80.424;1482.223633;23282.30664;54.35496288;0;1;0
50236;72.6;2277.885254;24375.12109;54.35496288;696;100;35;96;0.361217324;-0.290870842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.6;2277.885254;24375.12109;54.35496288;0;1;0
50237;72.84;2253.528564;24178.81836;54.35496288;653;100;39;100;0.312703799;-0.297988493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.84;2253.528564;24178.81836;54.35496288;0;1;0
50238;101.376;960.8607178;21887.41992;54.35496288;348;100;10;93;0.327905361;-0.292455544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101.376;960.8607178;21887.41992;54.35496288;0;1;0
50240;147.072;587.4992065;21424.70313;54.35496288;219;99;12;20;0.377844497;-0.299818981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147.072;587.4992065;21424.70313;54.35496288;0;1;0
